X,Y,Z
-115.0,-115.0,0.0
-115.0,-114.0,0.0
-115.0,-113.0,0.0
-115.0,-112.0,0.0
-115.0,-111.0,0.0
-115.0,-110.0,0.0
-115.0,-109.0,0.0
-115.0,-108.0,0.0
-115.0,-107.0,0.0
-115.0,-106.0,0.0
-115.0,-105.0,0.0
-115.0,-104.0,0.0
-115.0,-103.0,0.0
-115.0,-102.0,0.0
-115.0,-101.0,0.0
-115.0,-100.0,1.000132824353106e-11
-115.0,-99.0,3.208156461778641e-11
-115.0,-98.0,4.749547688734321e-11
-115.0,-97.0,3.7397879602380825e-11
-115.0,-96.0,-9.705355643600912e-12
-115.0,-95.0,5.484513323693434e-11
-115.0,-94.0,1.9496953036119237e-10
-115.0,-93.0,2.751683985618023e-10
-115.0,-92.0,1.5994230067139337e-10
-115.0,-91.0,-1.5282536742182036e-10
-115.0,-90.0,-1.3348208459521283e-10
-115.0,-89.0,7.687359667495647e-11
-115.0,-88.0,2.2857274115536883e-10
-115.0,-87.0,7.194641361270565e-11
-115.0,-86.0,-4.351990731121851e-11
-115.0,-85.0,4.972997303417198e-10
-115.0,-84.0,1.0695066180363e-09
-115.0,-83.0,1.0236144694598806e-09
-115.0,-82.0,-2.0938169357964073e-10
-115.0,-81.0,1.022163119443961e-09
-115.0,-80.0,4.5141684992973695e-09
-115.0,-79.0,6.823098402743508e-09
-115.0,-78.0,4.5054167865453045e-09
-115.0,-77.0,-4.859658927699551e-09
-115.0,-76.0,-1.4711067726024858e-08
-115.0,-75.0,-2.0384462630516547e-08
-115.0,-74.0,-1.8405915470133308e-08
-115.0,-73.0,-5.3014980738338525e-09
-115.0,-72.0,2.0712164348094986e-08
-115.0,-71.0,4.928290383928918e-08
-115.0,-70.0,6.487741927327773e-08
-115.0,-69.0,5.19501165154719e-08
-115.0,-68.0,-4.998101291126865e-09
-115.0,-67.0,-9.643744992107574e-08
-115.0,-66.0,-1.7587154360799896e-07
-115.0,-65.0,-1.9893629485228345e-07
-115.0,-64.0,-1.212676161543162e-07
-115.0,-63.0,1.0165056158084023e-07
-115.0,-62.0,4.405152077922913e-07
-115.0,-61.0,7.145597063002895e-07
-115.0,-60.0,7.26442906618646e-07
-115.0,-59.0,2.7882365826117095e-07
-115.0,-58.0,-5.267919384211384e-07
-115.0,-57.0,-8.956033423661433e-07
-115.0,-56.0,-8.632430856623655e-07
-115.0,-55.0,-5.339415166197862e-07
-115.0,-54.0,-1.1928983548386908e-08
-115.0,-53.0,5.957140810350656e-07
-115.0,-52.0,1.093694254547219e-06
-115.0,-51.0,1.2430930546367028e-06
-115.0,-50.0,8.049838859576555e-07
-115.0,-49.0,-4.0369704722632813e-07
-115.0,-48.0,-1.5409516259790815e-06
-115.0,-47.0,-2.1070405869258946e-06
-115.0,-46.0,-1.9151661083811587e-06
-115.0,-45.0,-7.785303686592665e-07
-115.0,-44.0,2.2909970828195382e-06
-115.0,-43.0,8.713951382469219e-06
-115.0,-42.0,1.4087327644173126e-05
-115.0,-41.0,1.348502184699124e-05
-115.0,-40.0,1.9809299699835464e-06
-115.0,-39.0,-1.1050135140612106e-05
-115.0,-38.0,-1.0881819309626355e-05
-115.0,-37.0,-4.472890602049551e-06
-115.0,-36.0,1.0293573606571419e-06
-115.0,-35.0,-1.0628107794996538e-06
-115.0,-34.0,-2.403484870708463e-06
-115.0,-33.0,8.747938611841477e-08
-115.0,-32.0,2.8825200186101546e-06
-115.0,-31.0,2.4540750543959336e-06
-115.0,-30.0,-4.474405685542358e-06
-115.0,-29.0,-1.5887723559701912e-05
-115.0,-28.0,-2.4736048058369352e-05
-115.0,-27.0,-2.3769982328750155e-05
-115.0,-26.0,-5.740129518049772e-06
-115.0,-25.0,0.00016963502158972514
-115.0,-24.0,0.0005774345377963307
-115.0,-23.0,0.0008850175376161789
-115.0,-22.0,0.0007510484147873504
-115.0,-21.0,-0.00020150367019242804
-115.0,-20.0,-0.004251844601939392
-115.0,-19.0,-0.009612725535377361
-115.0,-18.0,-0.012080162160260506
-115.0,-17.0,-0.007450170166343002
-115.0,-16.0,0.008251420075452313
